,City,Country,Response Code,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
62,vilhena,BR,200,40,1540670400,58,-12.74,-60.15,86,8.05
63,dubrovytsya,UA,200,80,1540672228,92,51.57,26.57,45.37,7.4
64,kruisfontein,ZA,200,0,1540672228,86,-34,24.73,64.72,14.12
65,high prairie,CA,200,20,1540672228,63,55.43,-116.48,42.71,12.44
66,mahanoro,MG,200,44,1540672229,98,-19.9,48.8,66.74,2.59
67,calama,CL,200,0,1540670400,4,-22.46,-68.93,78.8,21.92
68,rikitea,PF,200,0,1540672229,100,-23.12,-134.97,73.27,14.45
69,bluff,NZ,200,92,1540672229,100,-46.6,168.33,50.09,1.25
70,broome,AU,200,75,1540670400,78,-17.97,122.23,77,5.82
71,qaanaaq,GL,200,0,1540672230,100,77.48,-69.36,-8.55,9.75
72,barrow,US,200,1,1540671300,48,39.51,-90.4,62.6,8.05
73,mount isa,AU,200,20,1540670400,31,-20.73,139.49,77,16.11
74,thompson,CA,200,90,1540670400,97,55.74,-97.86,32,10.29
75,fairbanks,US,200,90,1540670280,100,64.84,-147.72,30.2,4.7
76,aksu,KZ,200,0,1540670400,53,52.04,76.93,50,11.18
77,hilo,US,200,1,1540670160,74,19.71,-155.08,80.6,5.82
78,cape town,ZA,200,0,1540670400,82,-33.93,18.42,64.4,8.05
79,cayenne,GF,200,56,1540670400,70,4.94,-52.33,86,10.29
80,melfi,TD,200,0,1540672232,59,11.06,17.94,78.71,3.04
81,westport,NZ,200,0,1540672232,87,-41.75,171.6,52.16,2.37
82,vostok,RU,200,88,1540672233,81,46.45,135.83,27.41,5.39
83,mhlambanyatsi,SZ,200,0,1540672233,70,-26.45,31.02,57.79,2.15
84,meulaboh,ID,200,76,1540672233,100,4.14,96.13,76.55,0.36
85,nowa ruda,PL,200,0,1540670400,75,50.58,16.5,42.8,4.7
86,alzey,DE,200,40,1540670160,70,49.75,8.12,46.4,4.7
87,georgetown,SH,200,76,1540672234,100,-7.93,-14.42,76.1,15.12
88,ust-tarka,RU,200,88,1540672234,86,55.56,75.71,50.45,12.55
89,hualmay,PE,200,0,1540672234,65,-11.1,-77.61,69.71,5.39
90,neuquen,AR,200,0,1540666800,29,-38.95,-68.06,78.8,10.29
91,susanville,US,200,1,1540671300,26,40.42,-120.65,71.6,4.05
92,lufilufi,WS,200,0,1540672235,100,-13.87,-171.6,82.31,8.52
93,carnduff,CA,200,20,1540672235,46,49.17,-101.8,50,19.26
94,rafraf,TN,200,40,1540670400,52,37.19,10.18,73.4,6.93
95,bowen,AU,200,90,1540666800,88,-20.01,148.25,68,13.89
96,kungsbacka,SE,200,0,1540669800,92,57.49,12.08,30.2,4.7
97,puerto ayora,EC,200,0,1540670400,65,-0.74,-90.35,78.8,25.28
98,progreso,MX,200,80,1540672236,89,20.25,-99.19,59,5.39
99,bosaso,SO,200,0,1540672237,100,11.28,49.18,77.32,3.15
100,carnarvon,AU,200,0,1540672237,95,-24.87,113.63,69.44,18.25
101,rapid valley,US,200,90,1540670160,71,44.06,-103.15,53.6,34.45
102,avarua,CK,200,75,1540670400,88,-21.21,-159.78,75.2,14.99
103,mogadishu,SO,200,8,1540672238,100,2.04,45.34,79.12,7.85
104,lompoc,US,200,1,1540670280,68,34.64,-120.46,87.8,13.87
105,salinopolis,BR,200,76,1540672238,91,-0.61,-47.36,82.85,13.78
106,chapais,CA,200,1,1540670400,50,49.78,-74.86,30.2,10.29
107,eyl,SO,200,32,1540672238,100,7.98,49.82,75.11,5.61
108,noyabrsk,RU,200,88,1540672238,94,63.2,75.45,34.57,10.87
109,mwinilunga,ZM,200,0,1540672239,41,-11.73,24.43,66.07,5.17
110,vila velha,BR,200,0,1540670400,65,-3.71,-38.6,82.4,11.41
111,vila do maio,CV,200,75,1540670400,78,15.13,-23.22,78.8,16.11
112,kapaa,US,200,40,1540670160,69,22.08,-159.32,82.4,11.41
113,honningsvag,NO,200,88,1540672240,100,70.98,25.97,34.16,16.69
114,geraldton,AU,200,0,1540670400,93,-28.77,114.6,57.2,8.05
115,kochkurovo,RU,200,88,1540672240,92,54.03,45.43,34.07,6.29
116,iqaluit,CA,200,75,1540670400,85,63.75,-68.52,21.2,27.51
117,raudeberg,NO,200,0,1540669800,69,61.99,5.14,37.4,4.7
118,aykhal,RU,200,92,1540672241,82,65.95,111.51,23.27,12.66
119,leningradskiy,RU,200,0,1540672241,100,69.38,178.42,14.72,5.28
120,jamestown,SH,200,0,1540672241,100,-15.94,-5.72,68.27,10.98
121,salalah,OM,200,75,1540669800,83,17.01,54.1,78.8,2.24
122,lucapa,AO,200,0,1540672242,77,-8.42,20.74,72.59,4.16
123,erenhot,CN,200,76,1540672242,56,43.65,111.97,36.59,20.83
124,kochevo,RU,200,92,1540672242,72,59.6,54.31,33.22,13.44
125,collipulli,CL,200,75,1540670400,49,-37.96,-72.44,71.6,5.82
126,cockburn town,TC,200,12,1540672243,100,21.46,-71.14,83.17,9.75
127,bambous virieux,MU,200,20,1540670400,82,-20.34,57.76,66.2,5.82
128,wilmington,US,200,90,1540671000,100,39.75,-75.55,53.6,10.29
129,port hardy,CA,200,90,1540670400,76,50.7,-127.42,50,25.28
130,stepnyak,KZ,200,100,1540672243,100,52.83,70.79,47.57,8.19
131,aklavik,CA,200,90,1540670400,92,68.22,-135.01,24.8,3.36
132,eregli,TR,200,0,1540672244,72,37.51,34.05,30.74,2.82
133,baghmara,IN,200,12,1540672244,79,23.8,86.21,64.81,3.71
134,sitka,US,200,0,1540672245,32,37.17,-99.65,77.32,8.97
135,coihaique,CL,200,40,1540670400,39,-45.58,-72.07,62.6,8.05
136,butaritari,KI,200,8,1540672245,100,3.07,172.79,85.55,10.76
137,sioux lookout,CA,200,90,1540670400,93,50.1,-91.92,42.8,8.05
138,san carlos del zulia,VE,200,36,1540672246,73,9,-71.91,88.07,3.04
139,samfya,ZM,200,0,1540672246,38,-11.37,29.56,76.28,12.77
140,saint-philippe,RE,200,0,1540670400,64,-21.36,55.77,68,5.82
141,manokwari,ID,200,0,1540672246,100,-0.87,134.08,82.27,6.85
142,jacareacanga,BR,200,32,1540672247,77,-6.22,-57.76,86.54,2.15
143,sawakin,SD,200,40,1540666800,74,19.1,37.33,84.2,11.41
144,tabou,CI,200,0,1540672247,99,4.42,-7.36,81.95,9.08
145,camacha,PT,200,40,1540670400,68,33.08,-16.33,68,16.11
146,xingcheng,CN,200,8,1540672248,65,40.62,120.71,38.48,8.3
147,mantua,CU,200,24,1540672248,66,22.29,-84.28,84.97,3.83
148,otradnoye,RU,200,75,1540670400,94,59.77,30.8,33.8,15.66
149,matamoros,MX,200,75,1540669200,47,25.53,-103.23,77,8.05
150,alofi,NU,200,75,1540670400,83,-19.06,-169.92,78.8,8.05
151,hohhot,CN,200,0,1540666800,41,40.81,111.65,41,13.42
152,hermanus,ZA,200,0,1540672249,65,-34.42,19.24,66.92,4.5
153,quang ngai,VN,200,92,1540672249,99,15.12,108.8,70.07,2.15
154,zhuhai,CN,200,0,1540666800,41,40.71,112.04,41,13.42
155,la ronge,CA,200,90,1540671240,74,55.1,-105.3,33.8,3.36
156,saint george,BM,200,75,1540670100,69,32.38,-64.68,77,23.04
157,castro,CL,200,92,1540672253,96,-42.48,-73.76,54.59,5.84
158,longyan,CN,200,0,1540672254,91,25.1,117.03,46.27,1.92
159,de aar,ZA,200,0,1540672254,25,-30.65,24.01,62.11,5.17
160,espanola,US,200,1,1540670280,71,47.6,-117.74,53.6,3.36
161,fort payne,US,200,90,1540670160,71,34.44,-85.72,59,9.17
162,sola,VU,200,56,1540672255,100,-13.88,167.55,79.79,9.19
163,maniitsoq,GL,200,36,1540672255,97,65.42,-52.9,34.88,21.94
164,calvinia,ZA,200,0,1540672255,21,-31.47,19.78,72.01,6.17
165,sao filipe,CV,200,8,1540672255,98,14.9,-24.5,78.35,12.44
166,holzminden,DE,200,40,1540669800,93,51.83,9.45,41,3.36
167,gulu,UG,200,64,1540671983,94,2.77,32.3,64.58,2.82
168,isangel,VU,200,0,1540672256,100,-19.55,169.27,75.02,1.92
169,xinan,CN,200,20,1540670400,46,22.55,113.89,75.2,9.17
170,kaitangata,NZ,200,92,1540672257,100,-46.28,169.85,48.16,4.27
171,sibolga,ID,200,80,1540672257,100,1.74,98.78,70.43,0.58
172,nanortalik,GL,200,92,1540672257,95,60.14,-45.24,35.96,13.44
173,starkville,US,200,1,1540672500,42,33.45,-88.82,68,6.93
174,correntina,BR,200,20,1540672258,33,-13.34,-44.63,89.78,5.61
175,longyearbyen,SJ,200,75,1540669800,78,78.22,15.64,17.6,9.17
176,umm kaddadah,SD,200,0,1540672258,23,13.6,26.69,78.17,11.43
177,kudahuvadhoo,MV,200,88,1540672258,100,2.67,72.89,79.52,9.75
178,grindavik,IS,200,75,1540668600,80,63.84,-22.43,41,24.16
179,saldanha,ZA,200,0,1540670400,64,-33.01,17.94,68,5.82
180,upernavik,GL,200,88,1540672259,100,72.79,-56.15,23.99,23.29
181,hay river,CA,200,20,1540670400,73,60.82,-115.79,39.2,4.7
182,sao jose da coroa grande,BR,200,0,1540672259,78,-8.9,-35.15,78.31,12.55
183,turukhansk,RU,200,92,1540672260,92,65.8,87.96,36.86,17.81
184,san luis,MX,200,1,1540670220,19,32.49,-114.78,93.2,3.36
185,ulaanbaatar,MN,200,0,1540670400,73,47.92,106.92,24.8,10.65
186,kyaikto,MM,200,12,1540672261,100,17.31,97.01,72.91,2.26
187,pringsewu,ID,200,68,1540672261,95,-5.36,104.98,72.19,2.15
188,luwuk,ID,200,0,1540672261,100,-0.95,122.79,75.34,4.05
189,vung tau,VN,200,40,1540670400,94,10.35,107.08,78.8,3.36
190,cidreira,BR,200,100,1540672261,94,-30.17,-50.22,63.64,22.5
191,denpasar,ID,200,44,1540672262,100,-8.65,115.22,71.33,1.92
192,port hedland,AU,200,0,1540670400,94,-20.31,118.58,71.6,5.82
193,narsaq,GL,200,88,1540669800,86,60.91,-46.05,33.8,2.24
194,lakhdenpokhya,RU,200,68,1540672061,97,61.52,30.2,32.81,16.13
195,brownsville,US,200,1,1540669980,58,25.91,-97.49,82.4,10.29
196,maun,BW,200,0,1540670400,19,-19.99,23.42,80.6,6.93
197,sfantu gheorghe,RO,200,0,1540670400,81,44.65,26.83,51.8,7.74
198,esperance,AU,200,76,1540672260,89,-33.86,121.89,56.3,6.96
199,tasiilaq,GL,200,92,1540669800,80,65.61,-37.64,33.8,38.03
200,arraial do cabo,BR,200,75,1540670400,62,-22.97,-42.02,87.8,5.82
201,bagdarin,RU,200,12,1540672264,69,54.44,113.59,8.47,2.71
202,lorengau,PG,200,12,1540672264,100,-2.02,147.27,82.94,1.81
203,buriti alegre,BR,200,48,1540672264,66,-18.14,-49.04,80.87,8.97
204,tevaitoa,PF,200,76,1540672264,100,-16.78,-151.5,79.66,7.52
205,hojai,IN,200,44,1540672265,92,26,92.85,66.29,1.59
206,tigzirt,DZ,200,92,1540672265,90,36.57,4.2,59.54,3.71
207,hamilton,BM,200,75,1540670100,69,32.3,-64.78,77,23.04
208,luanda,AO,200,75,1540666800,83,-8.83,13.24,78.8,8.05
209,nicoya,CR,200,75,1540670400,88,10.15,-85.45,80.6,8.05
210,san policarpo,PH,200,20,1540672265,93,12.18,125.51,79.43,13.56
211,los llanos de aridane,ES,200,75,1540670400,88,28.66,-17.92,68,12.75
212,biltine,TD,200,12,1540672266,20,14.53,20.93,82.36,13.22
213,ketchikan,US,200,90,1540670160,58,55.34,-131.65,53.6,8.05
214,chara,RU,200,0,1540672266,69,56.9,118.26,-4.45,1.92
215,mega,ET,200,56,1540672267,92,4.06,38.32,55.4,3.15
216,kavieng,PG,200,56,1540672267,100,-2.57,150.8,80.6,6.62
217,adolfo lopez mateos,MX,200,0,1540672267,34,26.8,-109.39,93.07,3.04
218,pierre,US,200,90,1540669980,87,44.37,-100.35,53.6,16.11
219,huoqiu,CN,200,0,1540672268,76,32.34,116.27,45.95,7.4
220,hithadhoo,MV,200,92,1540672268,100,-0.6,73.08,78.89,12.21
221,severo-kurilsk,RU,200,48,1540672268,100,50.68,156.12,38.93,10.54
222,bafoulabe,ML,200,24,1540672269,62,13.81,-10.83,82.36,7.4
223,torbay,CA,200,75,1540670400,60,47.66,-52.73,41,14.99
224,sri aman,MY,200,88,1540670400,100,1.24,111.46,73.4,2.93
225,swift current,CA,200,1,1540670400,30,50.29,-107.8,53.6,24.16
226,tatahuicapan,MX,200,40,1540670040,88,18.25,-94.76,84.2,11.41
227,asmara,ER,200,0,1540672270,92,15.34,38.93,63.19,1.81
228,palmer,US,200,40,1540670160,65,61.6,-149.11,46.4,16.11
229,duluth,US,200,90,1540671360,93,46.77,-92.13,46.4,4.7
230,waipawa,NZ,200,24,1540672270,86,-39.94,176.59,62.06,4.05
231,shelton,US,200,75,1540670280,76,47.22,-123.1,57.2,3.36
232,valle de juarez,MX,200,12,1540672271,46,19.93,-102.94,78.26,2.37
233,samarai,PG,200,76,1540672271,100,-10.62,150.67,79.43,9.75
234,buea,CM,200,40,1540670400,94,4.16,9.23,80.6,2.24
235,ratlam,IN,200,0,1540672272,57,23.33,75.04,65.3,5.17
236,lebu,CL,200,56,1540672272,100,-37.62,-73.65,55.81,8.19
237,siedlce,PL,200,56,1540672272,68,52.17,22.28,44.06,8.97
238,souillac,MU,200,20,1540670400,82,-20.52,57.52,66.2,5.82
239,baracoa,CU,200,24,1540672273,96,20.35,-74.5,83.12,5.06
240,kharp,RU,200,88,1540672273,88,66.82,65.8,26.51,11.99
241,derzhavinsk,KZ,200,92,1540672274,100,51.1,66.31,42.53,17.02
242,ulaangom,MN,200,8,1540672143,42,49.98,92.07,4.73,1.7
243,bustamante,MX,200,0,1540672274,62,26.53,-100.51,74.48,4.27
244,el angel,EC,200,75,1540670400,76,0.62,-77.93,53.6,14.99
245,hambantota,LK,200,92,1540672274,100,6.12,81.12,76.06,7.29
246,jalu,LY,200,76,1540672275,41,29.03,21.55,67.06,7.96
247,nikolskoye,RU,200,75,1540670400,94,59.7,30.79,33.8,15.66
248,kidal,ML,200,0,1540672275,23,18.44,1.41,67.96,7.63
249,onega,RU,200,32,1540672275,100,63.91,38.09,35.02,11.65
250,gilgit,PK,200,8,1540672276,96,35.92,74.31,17.56,0.25
251,praia da vitoria,PT,200,75,1540670400,63,38.73,-27.07,64.4,20.15
252,novobirilyussy,RU,200,0,1540672276,82,56.95,90.69,32,7.96
253,ribeira grande,PT,200,20,1540670400,63,38.52,-28.7,64.4,10.29
254,okhotsk,RU,200,24,1540672277,100,59.36,143.24,22.91,5.61
255,birkenfeld,DE,200,75,1540669800,86,49.65,7.16,41,8.05
256,luancheng,CN,200,0,1540670400,42,37.88,114.65,48.2,6.71
257,shahgarh,IN,200,0,1540672278,58,24.31,79.12,62.96,2.59
258,payakumbuh,ID,200,20,1540672278,95,-0.23,100.63,68.81,2.48
259,anan,JP,200,40,1540666440,62,33.91,134.64,59,9.17
260,faanui,PF,200,48,1540672278,100,-16.48,-151.75,78.67,5.73
261,ambon,ID,200,8,1540672094,99,-3.7,128.18,80.24,4.94
262,cabedelo,BR,200,20,1540670400,65,-6.97,-34.84,80.6,9.17
263,sur,OM,200,80,1540672279,100,22.57,59.53,79.43,8.63
264,toropets,RU,200,92,1540672279,97,56.5,31.64,43.84,17.92
265,amga,RU,200,48,1540672280,71,60.89,131.98,12.61,6.17
266,oistins,BB,200,40,1540670400,66,13.07,-59.53,84.2,11.41
267,sobolevo,RU,200,92,1540672280,95,54.43,31.9,45.46,14.67
268,tuatapere,NZ,200,80,1540672280,100,-46.13,167.69,46.99,3.49
269,kutum,SD,200,0,1540672281,26,14.2,24.66,71.96,11.65
270,yotsukaido,JP,200,75,1540668600,77,35.67,140.18,62.6,11.41
271,anloga,GH,200,20,1540670400,79,5.79,0.9,84.2,5.82
272,chuy,UY,200,80,1540672282,85,-33.69,-53.46,63.77,14.45
273,nabire,ID,200,32,1540672282,91,-3.36,135.5,68.32,1.92
274,tanete,ID,200,0,1540672282,93,-3.94,119.78,70.43,2.15
275,san patricio,MX,200,20,1540669260,70,19.22,-104.7,87.8,9.17
276,dustlik,UZ,200,92,1540672283,64,40.53,68.03,62.74,13.78
277,flinders,AU,200,90,1540666800,67,-34.58,150.85,57.2,14.99
278,richards bay,ZA,200,0,1540672283,97,-28.77,32.06,62.69,2.37
279,gaoual,GN,200,8,1540672284,87,11.75,-13.2,78.94,2.37
280,coolum beach,AU,200,0,1540672284,95,-26.53,153.09,71.92,4.72
281,kunnamkulam,IN,200,40,1540670400,83,10.65,76.07,78.8,2.24
282,bellevue,US,200,1,1540670280,76,47.61,-122.19,57.2,3.36
283,methoni,GR,200,20,1540669800,88,36.82,21.7,62.6,11.99
284,buritizeiro,BR,200,32,1540672285,98,-17.37,-44.96,72.32,2.71
285,ilulissat,GL,200,75,1540669800,64,69.22,-51.1,33.8,4.7
286,atambua,ID,200,0,1540672285,100,-9.11,124.89,73.99,5.39
287,pevek,RU,200,24,1540672286,100,69.7,170.27,6.76,7.18
288,hilton head island,US,200,90,1540670160,67,32.16,-80.75,64.4,13.87
289,cabo san lucas,MX,200,20,1540669560,54,22.89,-109.91,89.6,11.41
290,karoi,ZW,200,0,1540672286,31,-16.82,29.68,70.61,10.87
291,yerbogachen,RU,200,64,1540672231,96,61.28,108.01,32,6.4
292,te anau,NZ,200,92,1540672287,100,-45.41,167.72,44.33,3.6
293,yeppoon,AU,200,75,1540670400,88,-23.13,150.74,71.6,3.36
294,constitucion,MX,200,75,1540669200,37,23.99,-104.67,69.8,8.05
295,ravar,IR,200,68,1540672093,96,31.27,56.81,56.03,2.26
296,harnoli,PK,200,0,1540672287,86,32.28,71.55,62.24,3.38
297,baruun-urt,MN,200,92,1540672288,88,46.68,113.28,29.84,11.54
298,bossangoa,CF,200,56,1540672288,82,6.5,17.45,75.61,3.15
299,palmi,IT,200,40,1540670100,73,38.36,15.86,69.8,17.22
300,harstad,NO,200,40,1540669800,92,68.8,16.53,33.8,9.08
301,tarko-sale,RU,200,76,1540672288,87,64.92,77.78,33.31,14
302,batagay,RU,200,68,1540672289,72,67.65,134.64,0.86,2.93
303,ancud,CL,200,92,1540672289,96,-41.87,-73.83,54.14,5.73
304,prince rupert,CA,200,75,1540670400,54,54.32,-130.32,55.4,9.17
305,dingle,IE,200,8,1540672289,100,52.14,-10.27,46.22,25.08
306,nemuro,JP,200,0,1540672290,100,43.32,145.57,53.74,15.12
307,moissac,FR,200,0,1540670400,70,44.11,1.08,44.6,4.7
308,arkhipo-osipovka,RU,200,20,1540672290,77,44.37,38.53,59.81,13.44
309,terrace bay,CA,200,90,1540670400,75,48.78,-87.1,41,2.24
310,ust-maya,RU,200,64,1540672291,67,60.42,134.54,14.09,7.29
311,katsuura,JP,200,40,1540666440,62,33.93,134.5,59,9.17
312,newcastle,AU,200,40,1540670400,77,-32.93,151.78,64.4,12.75
313,santiago del estero,AR,200,32,1540672291,63,-27.8,-64.26,76.82,9.42
314,atherton,AU,200,0,1540670400,100,-17.27,145.48,62.6,4.72
315,bom jesus,BR,200,0,1540672292,28,-9.08,-44.36,95.27,4.38
316,san juan de la maguana,DO,200,20,1540670400,74,18.81,-71.23,86,17.22
317,utinga,BR,200,75,1540670400,61,-5.82,-35.4,82.4,12.75
318,mayo,CA,200,90,1540670400,92,63.59,-135.9,26.6,3.6
319,chinsali,ZM,200,0,1540672293,36,-10.55,32.07,73.04,13.44
320,ahipara,NZ,200,32,1540672294,92,-35.17,173.16,61.88,7.96
321,kashi,CN,200,0,1540666800,23,39.45,75.98,51.8,11.18
322,vanimo,PG,200,68,1540672294,100,-2.67,141.3,79.7,3.6
323,huejuquilla el alto,MX,200,20,1540672294,44,22.63,-103.9,72.23,2.48
324,san juan,AR,200,0,1540672295,48,-31.54,-68.53,77.45,3.83
325,anadyr,RU,200,88,1540670400,85,64.73,177.51,23,11.18
326,puerto madryn,AR,200,0,1540672140,54,-42.77,-65.04,65.75,5.17
327,san ignacio,PE,200,80,1540672232,76,-5.15,-79,63.82,0.81
328,curuca,BR,200,56,1540672295,66,-2.52,-61.06,87.35,2.59
329,vardo,NO,200,80,1540672296,100,70.37,31.11,36.91,21.83
330,tobol,KZ,200,76,1540672296,74,52.68,62.58,38.62,12.44
331,taveta,KE,200,88,1540672296,98,-3.4,37.67,66.16,3.71
332,digapahandi,IN,200,0,1540672296,85,19.37,84.57,65.39,2.59
333,comodoro rivadavia,AR,200,20,1540670400,33,-45.87,-67.48,71.6,14.99
334,blacksburg,US,200,90,1540670100,87,37.23,-80.41,57.2,9.17
335,acapulco,MX,200,75,1540670100,70,16.86,-99.88,86,5.82
336,ayorou,NE,200,0,1540672297,34,14.73,0.92,77.41,2.71
337,vao,NC,200,36,1540672297,100,-22.67,167.48,72.37,11.43
338,sherman,US,200,1,1540670100,30,33.64,-96.61,80.6,4.72
339,kampot,KH,200,92,1540672298,99,10.62,104.18,71.69,5.73
340,poronaysk,RU,200,0,1540672298,93,49.22,143.1,37.94,7.63
341,poum,NC,200,0,1540672298,100,-20.23,164.02,74.89,6.73
342,massa,IT,200,90,1540670100,100,44.04,10.14,69.8,39.15
343,ayr,AU,200,0,1540672299,94,-19.58,147.4,75.92,10.76
344,college,US,200,90,1540670280,100,64.86,-147.8,30.2,4.7
345,hasaki,JP,200,75,1540668600,77,35.73,140.83,60.8,11.41
346,antofagasta,CL,200,20,1540670400,63,-23.65,-70.4,62.6,11.41
347,beringovskiy,RU,200,80,1540672300,100,63.05,179.32,28.13,6.62
348,vila franca do campo,PT,200,75,1540670400,55,37.72,-25.43,64.4,14.99
349,gobabis,NA,200,48,1540670400,34,-22.45,18.97,80.6,3.36
350,riverton,US,200,75,1540670400,41,43.02,-108.38,66.2,18.34
351,koyelga,RU,200,0,1540672300,78,54.65,60.9,26.56,8.3
352,jieshi,CN,200,20,1540672301,100,22.82,115.83,69.35,7.85
353,victoria,SC,200,20,1540670400,78,-4.62,55.45,80.6,6.93
354,tura,RU,200,68,1540672301,73,64.27,100.22,36.05,5.5
355,los alamos,US,200,1,1540671300,36,35.88,-106.3,62.6,5.82
356,lapua,FI,200,0,1540669800,86,62.97,23.01,28.4,6.93
357,kaohsiung,TW,200,75,1540666800,64,22.62,120.31,71.6,4.7
358,manado,ID,200,40,1540670400,94,1.49,124.85,75.2,1.12
359,atocha,BO,200,0,1540672303,14,-20.93,-66.22,63.77,5.06
360,canon city,US,200,0,1540672303,21,39.46,-117.13,68.32,3.49
361,isla vista,US,200,40,1540670160,77,34.41,-119.86,87.8,6.93
362,ligayan,PH,200,8,1540672303,100,4.65,119.47,83.17,7.52
363,zhigansk,RU,200,76,1540672304,84,66.77,123.37,17.33,10.42
364,kirovskiy,RU,200,80,1540672304,73,45.09,133.51,31.73,5.73
365,george town,KY,200,40,1540670400,70,19.29,-81.37,86,6.93
366,oktyabrskiy,RU,200,90,1540670400,93,55.61,37.97,37.4,13.42
367,nome,US,200,1,1540670100,44,30.04,-94.42,80.6,8.05
